Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,MS561101BA03-50,SENSORS-SMD_MS5611-01BA03,78.54,-98.65,-90.0,top
C1,2u2,C_0402_1005Metric,89.939945,-87.08857,180.0,top
C10,15pF,C_0402_1005Metric,92.98,-102.57,135.0,top
C11,15pF,C_0402_1005Metric,90.29,-102.51,45.0,top
C12,4.7uF,C_0603_1608Metric,89.7,-99.45,0.0,bottom
C13,100nF,C_0402_1005Metric,97.66,-98.05,0.0,bottom
C14,100nF,C_0402_1005Metric,94.56,-93.83,270.0,bottom
C15,22uF,C_0603_1608Metric,91.95,-90.4,90.0,bottom
C16,150pF,C_0402_1005Metric,93.13,-94.3,0.0,bottom
C17,100nF,C_0603_1608Metric,89.735,-97.925,0.0,bottom
C18,1uF,C_0402_1005Metric,97.51,-85.0,270.0,bottom
C19,4.7uF,C_0402_1005Metric,99.18,-87.24,180.0,bottom
C2,2u2,C_0402_1005Metric,101.389945,-90.73857,90.0,top
C20,1uF,C_0402_1005Metric,104.9,-100.84,90.0,bottom
C21,4.7uF,C_0402_1005Metric,103.37,-98.52,0.0,bottom
C22,10nF,C_0402_1005Metric,107.015,-97.95,0.0,top
C23,100nF,C_0402_1005Metric,109.965,-96.1,0.0,top
C24,2u2,C_0402_1005Metric,109.965,-97.05,0.0,top
C25,100nF,C_0402_1005Metric,87.17,-85.69,-90.0,top
C26,100nF,C_0402_1005Metric,103.05,-77.13,0.0,top
C27,100nF,C_0402_1005Metric,102.34,-109.975,0.0,bottom
C28,4.7uF,C_0603_1608Metric,93.85,-111.35,0.0,bottom
C29,100nF,C_0603_1608Metric,93.85,-109.85,0.0,bottom
C3,100nF,C_0402_1005Metric,88.539945,-88.33857,180.0,top
C30,100nF,C_0402_1005Metric,98.75,-105.72,270.0,bottom
C31,150pF,C_0402_1005Metric,97.26,-105.075,0.0,bottom
C32,22uF,C_0603_1608Metric,96.05,-101.975,90.0,bottom
C33,100nF,C_0402_1005Metric,100.65,-86.03,180.0,top
C34,100nF,C_0402_1005Metric,95.0,-87.0,0.0,top
C35,470nF,C_0402_1005Metric,102.55,-86.03,180.0,top
C36,100nF,C_0402_1005Metric,75.77,-98.53,-90.0,top
C37,100nF,C_0402_1005Metric,98.84,-87.12,180.0,top
C38,100nf,C_0402_1005Metric,82.34,-95.59,270.0,bottom
C39,100nf,C_0402_1005Metric,85.05,-98.61,90.0,top
C4,100nF,C_0402_1005Metric,87.339945,-99.23857,180.0,top
C40,100nF,C_0402_1005Metric,95.8,-104.9,-135.0,top
C41,100nF,C_1206_3216Metric,83.925,-105.05,180.0,bottom
C42,47uF,C_1206_3216Metric,83.925,-101.7,180.0,bottom
C5,100nF,C_0402_1005Metric,101.339945,-97.48857,-90.0,top
C6,100nF,C_0402_1005Metric,88.939945,-100.80857,-90.0,top
C7,100nF,C_0402_1005Metric,99.939945,-89.78857,0.0,top
C8,100nF,C_0402_1005Metric,100.53,-100.815,-90.0,top
C9,1uF,C_0402_1005Metric,99.55,-100.815,-90.0,top
D1,SMBJ28A,D_SMA,78.05,-101.65,0.0,bottom
D2,D_Schottky,D_0603_1608Metric,94.2125,-83.0,0.0,bottom
D3,D_Schottky,D_0603_1608Metric,94.22,-84.6,0.0,bottom
D4,LED,LED_0603_1608Metric,85.21,-108.4575,90.0,top
D5,LED,LED_0603_1608Metric,87.73,-108.45,90.0,top
D6,LED,LED_0603_1608Metric,90.24,-108.4675,90.0,top
D7,LED,LED_0603_1608Metric,103.75,-90.9975,90.0,top
D8,LED GREEN,LED_0603_1608Metric,105.28,-91.0,90.0,top
FB1,FerriteBead_Small,L_0402_1005Metric,98.55,-100.815,90.0,top
H1,MountingHole,MountingHole_4.3mm_M4,108.939945,-109.43857,90.0,top
H2,MountingHole,MountingHole_4.3mm_M4,108.939945,-78.93857,90.0,top
H3,MountingHole,MountingHole_4.3mm_M4,78.439945,-78.93857,90.0,top
H4,MountingHole,MountingHole_4.3mm_M4,78.439945,-109.43857,90.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,88.902445,-78.33857,0.0,bottom
J2,jst sh,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,77.2,-93.85,90.0,bottom
