Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C160977,BLM15PX601SN1D,muRata,0402,,600Ω@100MHz 1 Line Ferrite Bead 0402 900mA 230mΩ,yes,50,50,50,0.0127,0.64,https://www.lcsc.com/product-detail/C160977.html
2,C137973,RC0402FR-0747RL,YAGEO,0402,,47Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0,0,https://www.lcsc.com/product-detail/C137973.html
3,C88946,GRM155R71A474KE01D,muRata,0402,,470nF ±10% 10V Ceramic Capacitor X7R 0402,yes,20,20,20,0.0353,0.71,https://www.lcsc.com/product-detail/C88946.html
4,C22367834,HGC1206R5226M350NSPJ,Chinocera,1206,,22uF ±20% 35V Ceramic Capacitor X5R 1206,yes,5,5,5,0,0,https://www.lcsc.com/product-detail/C22367834.html
5,C186154,RN73H1ETTP5101B25,KOA,0402,,5.1kΩ 62.5mW 50V Metal Film Resistor ±25ppm/℃ ±0.1% 0402 Chip Resistor - Surface Mount RoHS,yes,5,5,5,0.1824,0.91,https://www.lcsc.com/product-detail/C186154.html
6,C137948,RC0402FR-07680RL,YAGEO,0402,,680Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0,0,https://www.lcsc.com/product-detail/C137948.html
7,C2909384,FRC0402F75R0TS,FOJAN,0402,,75Ω ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/C2909384.html
8,C5126133,FRC0402F8661TS,FOJAN,0402,,8.66kΩ ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C5126133.html
9,C151629,SDM02U30LP3-7B,DIODES,X3-DFN0603-2,,1 Independent 30V 370mV@10mA 100mA X3-DFN0603-2 Single Diodes RoHS,yes,10,10,10,0.0643,0.64,https://www.lcsc.com/product-detail/C151629.html
10,C728576,RT0402FRE07100KL,YAGEO,0402,,100kΩ 62.5mW 50V Thin Film Resistor ±50ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,50,50,50,0.0210,1.05,https://www.lcsc.com/product-detail/C728576.html
11,C2288,KT-0603B,Hubei KENTO Elec,0603,,Blue 469nm LED Indication - Discrete 3.1V 0603,yes,50,50,50,0.0103,0.52,https://www.lcsc.com/product-detail/C2288.html
12,C12624,KT-0603G,Hubei KENTO Elec,0603,,Emerald Green 525nm LED Indication - Discrete 3.1V 0603,yes,50,50,50,0.0122,0.61,https://www.lcsc.com/product-detail/C12624.html
13,C82351,AT7456E,ZHONGKEWEI,TSSOP-28-EP,,TSSOP-28-EP Microcontrollers RoHS,yes,1,1,1,3.7445,3.74,https://www.lcsc.com/product-detail/C82351.html
14,C15639,MS561101BA03-50,TE Connectivity,QFN-8(3x5),,"1Kpa~1.2bar QFN-8(3x5) Pressure Sensors, Transducers RoHS",yes,1,1,1,6.7122,6.71,https://www.lcsc.com/product-detail/C15639.html
15,C19077582,SMBJ28A,R+O,DO-214AA(SMB),,45.4VC Clamp 13.22A@10/1000us Ipp TVS DIODE DO-214AA(SMB),yes,5,5,5,0.0498,0.25,https://www.lcsc.com/product-detail/C19077582.html
16,C42924178,SMHT4020-100MT,Shun Xiang Nuo,"SMD,4x4mm",,"2A 10uH ±20% 2.8A 220mΩ SMD,4x4mm Fixed Inductors RoHS",yes,10,10,10,0.0532,0.53,https://www.lcsc.com/product-detail/C42924178.html
17,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,yes,5,5,5,0.1709,0.85,https://www.lcsc.com/product-detail/C165948.html
