Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Solder paste","soldering",1,9.00,"https://www.gsmnet.ro/aparatura-instrumente-service-piese-schimb-consumabile/pasta-fludor-relife-rl-406s-tip-seringa","GSMNET.RO"
"Solder paste squegee","soldering",1,3.00,"https://ro.farnell.com/chip-quik/minisqueege-1/solder-paste-stencil-squeegee/dp/3549325","Farnell RO"
"FLUX PASTE","Soldering components",1,13.00,"https://ro.farnell.com/mg-chemicals/8341-10ml/no-clean-flux-paste-10ml-10g/dp/3018420","Farnell RO"
"Fnirsi SAG-55","Hot air station (soldering)",1,68.00,"https://www.fnirsi.com/products/sag-55?variant=46483610796250","FNIRSI"
"PCB+stencil","pcbing+stenciling",5,35.00,"","JLCPCB"
"JST-SH 8PIN","esc comms",1,1.50,"","LCSC"
"INDUCTORS","BUCK CONVERTERS",2,2.70,"","FARNELL RO"
"ICM-42688-P","IMU (should have at home",1,0.00,"","me"
"PASSIVES TOTAL COST","TOTAL cost of all caps resistors diodes leds",1,8.50,"https://www.lcsc.com/","LCSC"
"C25858","16.9K",2,0.00,"",""
"C1985520","16Mhz",1,0.62,"https://www.lcsc.com/product-detail/C1985520.html?s_z=n_q_t_ABM11&spm=wm.fly.bg.8.xh___wm.ssy.tc.2.tz&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRT1haX1NfR1RcUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktQRlRADxALGw%3D%3D","LCSC"
"C11476","18.7k",1,0.00,"",""
"C11702","1K",2,0.00,"",""
"C1518208","1uF",3,0.00,"",""
"C25150","20",2,0.00,"",""
"C25092","22",2,0.00,"",""
"C3845593","22uF",1,0.00,"",""
"C86295","22uF",1,0.00,"",""
"C25769","24K",1,0.00,"",""
"C1985480","27Mhz",1,1.66,"https://www.lcsc.com/product-detail/C1985480.html?s_z=n_q_t_ABM11&spm=wm.fly.bg.38.xh___wm.ssy.tc.2.tz&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRT1haX1NfR1RcUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktQRlRADxALGw%3D%3D","LCSC"
"C12530","2u2",3,0.00,"",""
"C25900","4.7K",3,0.00,"",""
"C2858031","4.7uF",2,0.00,"",""
"C69335","4.7uF",2,0.00,"",""
"C25118","47",1,0.00,"",""
"C47339","470nF",1,0.00,"",""
"C76659","47uF",1,0.00,"",""
"C25905","5.1K",2,0.00,"",""
"C25904","51.1K",1,0.00,"",""
"C25130","680",1,0.00,"",""
"C25133","75",2,0.00,"",""
"C25798","75K",1,0.00,"",""
"C19709","86.6K",1,0.00,"",""
"C270420","9.76K",1,0.00,"",""
"C3194330","MP4420GJ-P",2,10.00,"",""
"C15639","MS561101BA03-50",1,6.62,"https://www.lcsc.com/product-detail/C15639.html?s_z=n_q_t_MS5611&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRT1haX1JSQVZdXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","LCSC"
"C25741","100K",7,0.00,"",""
"C25744","10k",1,0.00,"",""
"C1527","150pF",2,0.00,"",""
"C190862","W25Q128JVPIQ",2,7.21,"https://www.lcsc.com/product-detail/C190862.html?s_z=n_q_W25Q128JVPIQ&spm=wm.fly.bg.0.xh&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRT1haX1VfR1BYUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","LCSC"
"C165948","USCBC",5,0.86,"https://www.lcsc.com/product-detail/C165948.html?s_z=n_q_p_USBC%2520HRO&spm=wm.ssy.bg.3.xh&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRT1haX1ZTQFNbVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","LCSC"
"C2054141","STM32F405RGT6",1,3.97,"https://www.lcsc.com/product-detail/C15742.html?s_z=n_q_STM32F405RGT6&spm=wm.fly.bg.0.xh&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRT1haX1BQQ1NcVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","LCSC"
"C82351","AT7456E",1,3.61,"https://www.lcsc.com/product-detail/C82351.html?s_z=s_p_t_AT7456E&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRT1haX1FeRlVfVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVeSQwSGg0%3D","LCSC"
"C2969892","LDL212PV33R",2,1.30,"https://www.lcsc.com/product-detail/C2969892.html?s_z=n_q_p_LDL12PV33R&spm=wm.ssy.bg.0.xh&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRT1haX1JXQFJXVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktfQ1BADxALGw%3D%3D","LCSC"
